policy,S,M,N,F,i,u0,C1,C2,stage,feasible,message,p30,max_delay_ms,mean_delay_ms,unreachable_rate,reachable_count,sample_count,robustness_margin
strict_Tmax30,1620,135,12,91,49.75,15.0,1.0,0.993004,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,91,50.25,15.0,0.999995,0.99285,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,50.25,15.0,0.999725,0.992636,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,91,50.25,22.5,0.999981,0.992612,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,50.25,0.0,0.999568,0.992441,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,49.75,7.5,1.0,0.992378,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,24,50.0,2.0,0.999961,0.992342,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,24,50.0,0.0,0.999971,0.992266,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,24,50.0,6.0,0.999976,0.992229,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,49.75,15.0,0.999921,0.992188,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,24,50.0,4.0,0.999971,0.992181,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,50.25,22.5,0.999136,0.992126,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,49.75,0.0,0.999689,0.991901,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,49.75,22.5,0.999453,0.99163,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,51.0,7.5,1.0,0.990599,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,51.0,15.0,0.999647,0.990168,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,24,51.0,4.0,0.99978,0.989994,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,24,51.0,6.0,0.999771,0.98996,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,24,51.0,0.0,0.999736,0.989948,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,24,51.0,2.0,0.999732,0.989905,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,51.0,0.0,0.99949,0.989779,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,30,50.0,6.0,0.999821,0.988904,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,30,50.0,0.0,0.999763,0.988897,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,30,50.0,2.0,0.999816,0.988876,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,36,45,30,50.0,4.0,0.999768,0.98884,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,60,27,10,50.0,3.333,0.999889,0.98863,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,60,27,10,50.0,10.0,0.999898,0.988563,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,60,27,10,50.0,6.667,0.999922,0.988517,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,60,27,10,50.0,0.0,0.999903,0.98843,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,21,49.75,5.0,1.0,0.988029,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,21,49.75,15.0,1.0,0.987997,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,21,49.75,10.0,1.0,0.987991,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,21,49.75,0.0,1.0,0.987967,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,21,50.25,5.0,1.0,0.987184,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,21,50.25,0.0,1.0,0.987056,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,21,50.25,10.0,1.0,0.986968,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,49.75,0.0,1.0,0.986743,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,21,50.25,15.0,1.0,0.986719,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,49.75,5.0,1.0,0.986588,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,49.75,15.0,1.0,0.986587,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,49.75,10.0,1.0,0.986579,delay_lower_bound_reject,,,,,,,,,
