t_s,u,v,load_gbps
15300.0,258,259,0.12121212121212116
15300.0,336,337,0.12121212121212116
16200.0,596,597,0.1363636363636363
16200.0,597,598,0.12121212121212116
16200.0,598,599,0.10606060606060602
16200.0,560,599,0.10606060606060602
16200.0,560,561,0.10606060606060602
16200.0,563,601,0.09090909090909088
16200.0,601,679,0.09090909090909088
16200.0,679,717,0.09090909090909088
16200.0,717,755,0.09090909090909088
16200.0,755,793,0.09090909090909088
17100.0,137,138,0.12121212121212116
17100.0,97,98,0.10606060606060602
17100.0,136,137,0.10606060606060602
17100.0,590,591,0.10606060606060602
17100.0,96,97,0.09090909090909088
17100.0,135,136,0.09090909090909088
17100.0,591,592,0.09090909090909088
17100.0,592,593,0.09090909090909088
17100.0,635,673,0.09090909090909088
17100.0,673,711,0.09090909090909088
18000.0,169,170,0.15151515151515144
18000.0,622,623,0.12121212121212116
18000.0,623,624,0.12121212121212116
18000.0,624,625,0.12121212121212116
18000.0,626,627,0.12121212121212116
18000.0,168,169,0.10606060606060602
18000.0,701,702,0.10606060606060602
18000.0,509,510,0.10606060606060602
18000.0,166,167,0.10606060606060602
18000.0,473,511,0.09090909090909088
18900.0,163,164,0.1363636363636363
18900.0,616,617,0.10606060606060602
18900.0,617,618,0.10606060606060602
18900.0,618,619,0.10606060606060602
18900.0,162,163,0.10606060606060602
18900.0,619,620,0.09090909090909088
18900.0,620,621,0.09090909090909088
18900.0,621,622,0.09090909090909088
18900.0,160,161,0.09090909090909088
18900.0,161,162,0.09090909090909088
19800.0,649,650,0.12121212121212116
19800.0,650,651,0.12121212121212116
19800.0,653,654,0.10606060606060602
19800.0,197,198,0.10606060606060602
19800.0,156,157,0.09090909090909088
19800.0,157,158,0.09090909090909088
19800.0,158,159,0.09090909090909088
19800.0,651,652,0.09090909090909088
19800.0,618,656,0.09090909090909088
19800.0,196,197,0.09090909090909088
20700.0,643,644,0.12121212121212116
20700.0,644,645,0.12121212121212116
20700.0,647,648,0.12121212121212116
20700.0,645,646,0.10606060606060602
20700.0,646,647,0.10606060606060602
20700.0,648,649,0.09090909090909088
20700.0,764,802,0.09090909090909088
20700.0,802,840,0.09090909090909088
20700.0,612,650,0.09090909090909088
20700.0,418,456,0.09090909090909088
21600.0,223,224,0.1363636363636363
21600.0,184,185,0.10606060606060602
21600.0,222,223,0.10606060606060602
21600.0,183,184,0.09090909090909088
21600.0,221,222,0.09090909090909088
21600.0,606,644,0.09090909090909088
21600.0,297,335,0.09090909090909088
21600.0,335,373,0.09090909090909088
21600.0,373,411,0.09090909090909088
21600.0,182,183,0.07575757575757575
22500.0,716,754,0.19696969696969685
22500.0,754,792,0.19696969696969685
22500.0,830,868,0.16666666666666657
22500.0,868,906,0.16666666666666657
22500.0,678,716,0.16666666666666657
22500.0,600,678,0.16666666666666657
22500.0,713,714,0.15151515151515144
22500.0,714,715,0.15151515151515144
22500.0,906,944,0.15151515151515144
22500.0,792,830,0.1363636363636363
23400.0,703,704,0.15151515151515144
23400.0,704,705,0.1363636363636363
23400.0,250,251,0.1363636363636363
23400.0,705,706,0.12121212121212116
23400.0,671,709,0.12121212121212116
23400.0,633,671,0.12121212121212116
23400.0,248,249,0.10606060606060602
23400.0,249,250,0.10606060606060602
23400.0,706,707,0.09090909090909088
23400.0,707,708,0.09090909090909088
24300.0,244,245,0.12121212121212116
24300.0,511,549,0.12121212121212116
24300.0,205,206,0.10606060606060602
24300.0,697,698,0.10606060606060602
24300.0,203,204,0.09090909090909088
24300.0,204,205,0.09090909090909088
24300.0,243,244,0.09090909090909088
24300.0,698,699,0.09090909090909088
24300.0,665,703,0.09090909090909088
24300.0,627,665,0.09090909090909088
25200.0,733,734,0.1363636363636363
25200.0,730,731,0.12121212121212116
25200.0,734,735,0.12121212121212116
25200.0,505,543,0.12121212121212116
25200.0,731,732,0.10606060606060602
25200.0,732,733,0.10606060606060602
25200.0,735,773,0.10606060606060602
25200.0,773,811,0.10606060606060602
25200.0,811,849,0.10606060606060602
25200.0,849,887,0.10606060606060602
26100.0,76,114,0.15151515151515144
26100.0,114,152,0.15151515151515144
26100.0,152,190,0.15151515151515144
26100.0,190,228,0.15151515151515144
26100.0,228,266,0.15151515151515144
26100.0,266,304,0.15151515151515144
26100.0,310,311,0.15151515151515144
26100.0,304,342,0.15151515151515144
26100.0,271,272,0.10606060606060602
26100.0,309,310,0.10606060606060602
27000.0,760,761,0.12121212121212116
27000.0,761,762,0.12121212121212116
27000.0,724,762,0.12121212121212116
27000.0,686,724,0.12121212121212116
27000.0,796,797,0.10606060606060602
27000.0,797,798,0.10606060606060602
27000.0,798,799,0.09090909090909088
27000.0,264,265,0.09090909090909088
27000.0,265,266,0.09090909090909088
27000.0,302,303,0.09090909090909088
27900.0,790,791,0.15151515151515144
27900.0,794,795,0.15151515151515144
27900.0,791,792,0.1363636363636363
27900.0,792,793,0.12121212121212116
27900.0,795,796,0.12121212121212116
27900.0,797,835,0.12121212121212116
27900.0,835,873,0.12121212121212116
27900.0,873,911,0.12121212121212116
27900.0,793,794,0.10606060606060602
27900.0,759,797,0.10606060606060602
28800.0,784,785,0.15151515151515144
28800.0,785,786,0.1363636363636363
28800.0,786,787,0.12121212121212116
28800.0,559,597,0.12121212121212116
28800.0,331,332,0.12121212121212116
28800.0,330,331,0.10606060606060602
28800.0,598,636,0.10606060606060602
28800.0,787,788,0.09090909090909088
28800.0,788,789,0.09090909090909088
28800.0,789,790,0.09090909090909088
29700.0,820,821,0.1363636363636363
29700.0,816,817,0.12121212121212116
29700.0,817,818,0.12121212121212116
29700.0,818,819,0.12121212121212116
29700.0,285,286,0.09090909090909088
29700.0,819,820,0.09090909090909088
29700.0,823,861,0.09090909090909088
29700.0,861,899,0.09090909090909088
29700.0,669,707,0.09090909090909088
29700.0,785,823,0.09090909090909088
30600.0,397,398,0.15151515151515144
30600.0,396,397,0.10606060606060602
30600.0,358,359,0.09090909090909088
30600.0,395,396,0.09090909090909088
30600.0,810,811,0.09090909090909088
30600.0,811,812,0.09090909090909088
30600.0,812,813,0.09090909090909088
30600.0,472,473,0.09090909090909088
30600.0,471,509,0.09090909090909088
30600.0,509,547,0.09090909090909088
31500.0,847,848,0.12121212121212116
31500.0,843,844,0.10606060606060602
31500.0,844,845,0.10606060606060602
31500.0,845,846,0.09090909090909088
31500.0,350,351,0.09090909090909088
31500.0,351,352,0.09090909090909088
31500.0,352,353,0.09090909090909088
31500.0,388,389,0.09090909090909088
31500.0,389,390,0.09090909090909088
31500.0,390,391,0.09090909090909088
32400.0,877,878,0.1363636363636363
32400.0,841,842,0.1363636363636363
32400.0,878,879,0.12121212121212116
32400.0,840,879,0.10606060606060602
32400.0,840,841,0.10606060606060602
32400.0,842,843,0.10606060606060602
32400.0,843,844,0.09090909090909088
32400.0,844,882,0.09090909090909088
32400.0,882,920,0.09090909090909088
32400.0,920,998,0.09090909090909088
33300.0,418,419,0.12121212121212116
33300.0,378,379,0.10606060606060602
33300.0,417,418,0.10606060606060602
33300.0,871,872,0.10606060606060602
33300.0,377,378,0.09090909090909088
33300.0,416,417,0.09090909090909088
33300.0,872,873,0.09090909090909088
33300.0,873,874,0.09090909090909088
33300.0,916,954,0.09090909090909088
33300.0,954,992,0.09090909090909088
34200.0,907,908,0.1363636363636363
34200.0,903,904,0.12121212121212116
34200.0,904,905,0.12121212121212116
34200.0,905,906,0.12121212121212116
34200.0,908,909,0.10606060606060602
34200.0,909,910,0.10606060606060602
34200.0,982,983,0.10606060606060602
34200.0,450,451,0.10606060606060602
34200.0,447,448,0.10606060606060602
34200.0,906,907,0.09090909090909088
35100.0,897,898,0.1363636363636363
35100.0,898,899,0.1363636363636363
35100.0,899,900,0.1363636363636363
35100.0,444,445,0.1363636363636363
35100.0,443,444,0.10606060606060602
35100.0,900,901,0.09090909090909088
35100.0,901,902,0.09090909090909088
35100.0,902,903,0.09090909090909088
35100.0,442,443,0.09090909090909088
35100.0,711,749,0.09090909090909088
36000.0,930,931,0.10606060606060602
36000.0,931,932,0.10606060606060602
36000.0,478,479,0.10606060606060602
36000.0,1008,1009,0.10606060606060602
36000.0,477,478,0.09090909090909088
36000.0,934,935,0.09090909090909088
36000.0,780,818,0.09090909090909088
36000.0,742,780,0.09090909090909088
36000.0,704,742,0.09090909090909088
36000.0,899,937,0.09090909090909088
36900.0,924,925,0.12121212121212116
36900.0,925,926,0.12121212121212116
36900.0,928,929,0.12121212121212116
36900.0,926,927,0.10606060606060602
36900.0,927,928,0.10606060606060602
36900.0,929,930,0.09090909090909088
36900.0,893,931,0.09090909090909088
36900.0,699,737,0.09090909090909088
36900.0,931,969,0.07575757575757575
36900.0,969,1007,0.07575757575757575
37800.0,504,505,0.1363636363636363
37800.0,465,466,0.10606060606060602
