S,M,N,F,i,u0,C1,C2,c_min,max_gap_s,avg_mult
1620,36,45,18,51.0,6.0,0.999051,0.977972,0,300.0,3.2232
1620,36,45,18,51.0,0.0,0.999085,0.978023,0,300.0,3.2222
1620,36,45,18,51.0,2.0,0.999075,0.97785,0,300.0,3.2221
1620,36,45,18,51.0,4.0,0.99908,0.978059,0,300.0,3.222
1620,36,45,18,51.0,6.0,0.999051,0.977972,0,300.0,3.2232
1620,36,45,35,50.0,0.0,0.999115,0.974129,0,600.0,3.2357
1620,36,45,35,50.0,2.0,0.999144,0.974333,0,600.0,3.2366
1620,36,45,35,50.0,4.0,0.999129,0.974214,0,600.0,3.2356
1620,36,45,35,50.0,6.0,0.99911,0.974116,0,600.0,3.2357
1620,135,12,90,50.0,0.0,0.999687,0.993112,0,300.0,3.2345
1620,135,12,90,50.0,7.5,1.0,0.994183,1,0.0,3.2459
1620,135,12,90,50.0,15.0,0.999766,0.993268,0,300.0,3.2375
1620,135,12,90,50.0,22.5,0.999256,0.993099,0,300.0,3.2257
1620,135,12,90,50.0,0.0,0.999687,0.993112,0,300.0,3.2345
1620,135,12,90,50.0,7.5,1.0,0.994183,1,0.0,3.2459
1620,135,12,90,50.0,15.0,0.999766,0.993268,0,300.0,3.2375
1620,135,12,90,50.0,22.5,0.999256,0.993099,0,300.0,3.2257
1620,36,45,24,50.0,0.0,0.999971,0.992266,0,300.0,3.2352
1620,36,45,24,50.0,2.0,0.999961,0.992342,0,300.0,3.2362
1620,36,45,24,50.0,4.0,0.999971,0.992181,0,300.0,3.2354
1620,36,45,24,50.0,6.0,0.999976,0.992229,0,300.0,3.2363
1620,135,12,90,51.0,0.0,0.99949,0.989779,0,300.0,3.2237
1620,135,12,90,51.0,7.5,1.0,0.990599,1,0.0,3.2123
1620,135,12,90,51.0,15.0,0.999647,0.990168,0,300.0,3.2212
1620,135,12,90,51.0,22.5,0.998979,0.989693,0,300.0,3.2308
1620,36,45,24,51.0,0.0,0.999736,0.989948,0,300.0,3.2221
1620,36,45,24,51.0,2.0,0.999732,0.989905,0,300.0,3.2232
1620,36,45,24,51.0,4.0,0.99978,0.989994,0,300.0,3.2226
1620,36,45,24,51.0,6.0,0.999771,0.98996,0,300.0,3.223
1620,36,45,24,51.0,0.0,0.999736,0.989948,0,300.0,3.2221
1620,36,45,24,51.0,2.0,0.999732,0.989905,0,300.0,3.2232
1620,36,45,24,51.0,4.0,0.99978,0.989994,0,300.0,3.2226
1620,36,45,24,51.0,6.0,0.999771,0.98996,0,300.0,3.223
1620,135,12,90,51.0,0.0,0.99949,0.989779,0,300.0,3.2237
1620,135,12,90,51.0,7.5,1.0,0.990599,1,0.0,3.2123
1620,135,12,90,51.0,15.0,0.999647,0.990168,0,300.0,3.2212
1620,135,12,90,51.0,22.5,0.998979,0.989693,0,300.0,3.2308
1620,36,45,30,50.0,0.0,0.999763,0.988897,0,300.0,3.2356
1620,36,45,30,50.0,2.0,0.999816,0.988876,0,300.0,3.2363
1620,36,45,30,50.0,4.0,0.999768,0.98884,0,300.0,3.2354
1620,36,45,30,50.0,6.0,0.999821,0.988904,0,300.0,3.2365
1620,90,18,21,49.75,0.0,1.0,0.987967,1,0.0,3.2304
1620,90,18,21,49.75,5.0,1.0,0.988029,1,0.0,3.2302
1620,90,18,21,49.75,10.0,1.0,0.987991,1,0.0,3.2302
1620,90,18,21,49.75,15.0,1.0,0.987997,1,0.0,3.2303
1620,90,18,21,50.25,0.0,1.0,0.987056,1,0.0,3.2385
1620,90,18,21,50.25,5.0,1.0,0.987184,1,0.0,3.2392
1620,90,18,21,50.25,10.0,1.0,0.986968,1,0.0,3.2379
1620,90,18,21,50.25,15.0,1.0,0.986719,1,0.0,3.2379
1620,90,18,22,49.75,0.0,1.0,0.986743,1,0.0,3.2302
1620,90,18,22,49.75,5.0,1.0,0.986588,1,0.0,3.2303
1620,90,18,22,49.75,10.0,1.0,0.986579,1,0.0,3.2308
1620,90,18,22,49.75,15.0,1.0,0.986587,1,0.0,3.2305
1620,90,18,22,50.25,0.0,1.0,0.98486,1,0.0,3.2386
1620,90,18,22,50.25,5.0,1.0,0.984813,1,0.0,3.2386
1620,90,18,22,50.25,10.0,1.0,0.984711,1,0.0,3.2374
1620,90,18,22,50.25,15.0,1.0,0.98498,1,0.0,3.2385
1620,90,18,23,49.75,0.0,1.0,0.980854,1,0.0,3.2303
1620,90,18,23,49.75,5.0,1.0,0.98071,1,0.0,3.2302
1620,90,18,23,49.75,10.0,1.0,0.980638,1,0.0,3.2308
1620,90,18,23,49.75,15.0,1.0,0.980479,1,0.0,3.2303
1620,90,18,23,50.25,0.0,1.0,0.979892,1,0.0,3.2381
1620,90,18,23,50.25,5.0,1.0,0.980028,1,0.0,3.2391
1620,90,18,23,50.25,10.0,1.0,0.979915,1,0.0,3.2382
1620,90,18,23,50.25,15.0,1.0,0.980124,1,0.0,3.2382
1620,135,12,89,49.75,0.0,0.999943,0.98646,0,300.0,3.2325
1620,135,12,89,49.75,7.5,0.999933,0.986003,0,300.0,3.2255
1620,135,12,89,49.75,15.0,0.999952,0.986237,0,300.0,3.2284
1620,135,12,89,49.75,22.5,0.999938,0.986417,0,300.0,3.2348
1620,135,12,89,50.25,0.0,0.999995,0.985652,0,300.0,3.2376
1620,135,12,89,50.25,7.5,0.99999,0.985146,0,300.0,3.241
1620,135,12,89,50.25,15.0,1.0,0.985309,1,0.0,3.2394
1620,135,12,89,50.25,22.5,0.999995,0.985719,0,300.0,3.2358
1620,135,12,90,49.75,0.0,0.999689,0.991901,0,300.0,3.2288
1620,135,12,90,49.75,7.5,1.0,0.992378,1,0.0,3.2434
1620,135,12,90,49.75,15.0,0.999921,0.992188,0,300.0,3.2338
1620,135,12,90,49.75,22.5,0.999453,0.99163,0,300.0,3.2186
1620,135,12,90,50.25,0.0,0.999568,0.992441,0,300.0,3.2362
1620,135,12,90,50.25,7.5,1.0,0.993151,1,0.0,3.248
1620,135,12,90,50.25,15.0,0.999725,0.992636,0,300.0,3.2387
1620,135,12,90,50.25,22.5,0.999136,0.992126,0,300.0,3.2284
1620,135,12,91,49.75,0.0,1.0,0.993085,1,0.0,3.2303
1620,135,12,91,49.75,7.5,1.0,0.993274,1,0.0,3.2314
1620,135,12,91,49.75,15.0,1.0,0.993004,1,0.0,3.2302
1620,135,12,91,49.75,22.5,1.0,0.993055,1,0.0,3.2299
1620,135,12,91,50.25,0.0,0.999995,0.993068,0,300.0,3.2387
1620,135,12,91,50.25,7.5,0.999991,0.993281,0,300.0,3.241
1620,135,12,91,50.25,15.0,0.999995,0.99285,0,300.0,3.2384
1620,135,12,91,50.25,22.5,0.999981,0.992612,0,300.0,3.2362
1640,40,41,33,50.0,0.0,1.0,0.993175,1,0.0,3.2757
1640,40,41,33,50.0,2.195,1.0,0.993202,1,0.0,3.2758
1640,40,41,33,50.0,4.39,1.0,0.993153,1,0.0,3.276
1640,40,41,33,50.0,6.585,1.0,0.993082,1,0.0,3.2764
1640,40,41,33,50.0,0.0,1.0,0.993175,1,0.0,3.2757
1640,40,41,33,50.0,2.195,1.0,0.993202,1,0.0,3.2758
1640,40,41,33,50.0,4.39,1.0,0.993153,1,0.0,3.276
