S,M,N,F,i,u0,C1,C2,c_min,max_gap_s,avg_mult
1580,158,10,39,49.0,0.0,0.988888,0.910459,0,900.0,3.0068
1580,158,10,39,49.0,18.0,0.988763,0.912264,0,900.0,3.0103
1580,158,10,39,50.0,0.0,1.0,0.945972,1,0.0,3.0957
1580,158,10,39,50.0,18.0,1.0,0.946164,1,0.0,3.0972
1580,158,10,39,51.0,0.0,0.999704,0.94486,0,900.0,3.1712
1580,158,10,39,51.0,18.0,0.999566,0.945323,0,900.0,3.172
1580,158,10,53,49.0,0.0,0.992451,0.90956,0,3600.0,3.005
1580,158,10,53,49.0,18.0,0.992669,0.909377,0,2700.0,3.0067
1580,158,10,53,50.0,0.0,0.998383,0.944282,0,900.0,3.0995
1580,158,10,53,50.0,18.0,0.998037,0.944379,0,900.0,3.0989
1580,158,10,53,51.0,0.0,0.996776,0.929087,0,900.0,3.1734
1580,158,10,53,51.0,18.0,0.996961,0.928517,0,900.0,3.1722
1580,158,10,79,49.0,0.0,0.923911,0.818116,0,2700.0,3.0058
1580,158,10,79,49.0,18.0,0.923564,0.819334,0,2700.0,3.0101
1580,158,10,79,50.0,0.0,0.935582,0.840399,0,2700.0,3.0955
1580,158,10,79,50.0,18.0,0.935562,0.840515,0,2700.0,3.0968
1580,158,10,79,51.0,0.0,0.933215,0.833631,0,1800.0,3.1731
1580,158,10,79,51.0,18.0,0.932952,0.834967,0,1800.0,3.1736
1580,158,10,105,49.0,0.0,0.996368,0.877771,0,900.0,3.0018
1580,158,10,105,49.0,18.0,0.996518,0.877861,0,900.0,3.0013
1580,158,10,105,50.0,0.0,0.997483,0.910592,0,900.0,3.0876
1580,158,10,105,50.0,18.0,0.997685,0.909989,0,900.0,3.0891
1580,158,10,105,51.0,0.0,0.995245,0.901447,0,900.0,3.1716
1580,158,10,105,51.0,18.0,0.995245,0.901406,0,900.0,3.1727
1580,158,10,132,49.0,0.0,0.95852,0.812779,0,3600.0,3.0068
1580,158,10,132,49.0,18.0,0.957686,0.812041,0,3600.0,3.0049
1580,158,10,132,50.0,0.0,0.963176,0.854593,0,1800.0,3.0999
1580,158,10,132,50.0,18.0,0.963327,0.853572,0,1800.0,3.0984
1580,158,10,132,51.0,0.0,0.952429,0.850123,0,1800.0,3.1735
1580,158,10,132,51.0,18.0,0.952381,0.849177,0,1800.0,3.1721
1580,158,10,157,49.0,0.0,0.592516,0.570833,0,3600.0,3.0097
1580,158,10,157,49.0,18.0,0.592711,0.570581,0,3600.0,3.0043
1580,158,10,157,50.0,0.0,0.59844,0.579571,0,3600.0,3.0955
1580,158,10,157,50.0,18.0,0.59936,0.579586,0,3600.0,3.0985
1580,158,10,157,51.0,0.0,0.605682,0.588362,0,3600.0,3.1701
1580,158,10,157,51.0,18.0,0.607133,0.589364,0,3600.0,3.1734
1600,4,400,0,49.0,0.0,0.365818,0.361923,0,17100.0,3.0441
1600,4,400,0,49.0,0.45,0.366126,0.361612,0,17100.0,3.0473
1600,4,400,0,50.0,0.0,0.367097,0.364208,0,17100.0,3.1344
1600,4,400,0,50.0,0.45,0.367197,0.364635,0,17100.0,3.1369
1600,4,400,0,51.0,0.0,0.373492,0.370381,0,18000.0,3.213
1600,4,400,0,51.0,0.45,0.37341,0.370235,0,18000.0,3.2107
1600,4,400,1,49.0,0.0,0.366185,0.361349,0,17100.0,3.0443
1600,4,400,1,49.0,0.45,0.365881,0.362156,0,17100.0,3.0468
1600,4,400,1,50.0,0.0,0.367127,0.364182,0,17100.0,3.139
1600,4,400,1,50.0,0.45,0.367086,0.364585,0,17100.0,3.1339
1600,4,400,1,51.0,0.0,0.373563,0.370262,0,18000.0,3.2128
1600,4,400,1,51.0,0.45,0.373157,0.370319,0,18000.0,3.2121
1600,4,400,2,49.0,0.0,0.365865,0.36186,0,17100.0,3.0479
1600,4,400,2,49.0,0.45,0.36608,0.361675,0,17100.0,3.0435
1600,4,400,2,50.0,0.0,0.367037,0.364486,0,17100.0,3.1348
1600,4,400,2,50.0,0.45,0.367257,0.364356,0,17100.0,3.1366
1600,4,400,2,51.0,0.0,0.373407,0.370221,0,18000.0,3.2118
1600,4,400,2,51.0,0.45,0.373495,0.370395,0,18000.0,3.2119
1600,4,400,3,49.0,0.0,0.366062,0.361792,0,17100.0,3.047
1600,4,400,3,49.0,0.45,0.366003,0.361713,0,17100.0,3.0441
1600,4,400,3,50.0,0.0,0.367029,0.364243,0,17100.0,3.1363
1600,4,400,3,50.0,0.45,0.367183,0.364524,0,17100.0,3.1366
1600,4,400,3,51.0,0.0,0.373402,0.370183,0,18000.0,3.2125
1600,4,400,3,51.0,0.45,0.373317,0.370399,0,18000.0,3.2125
1600,5,320,0,49.0,0.0,0.435762,0.427967,0,14400.0,3.0418
1600,5,320,0,49.0,0.562,0.435805,0.428327,0,14400.0,3.0426
1600,5,320,0,50.0,0.0,0.438554,0.432489,0,14400.0,3.1392
1600,5,320,0,50.0,0.562,0.438451,0.432859,0,14400.0,3.141
1600,5,320,0,51.0,0.0,0.444244,0.439088,0,14400.0,3.2122
1600,5,320,0,51.0,0.562,0.444183,0.438719,0,14400.0,3.2123
1600,5,320,1,49.0,0.0,0.435668,0.428627,0,14400.0,3.0438
1600,5,320,1,49.0,0.562,0.435484,0.42877,0,14400.0,3.0481
1600,5,320,1,50.0,0.0,0.438585,0.432345,0,14400.0,3.1394
1600,5,320,1,50.0,0.562,0.438645,0.432122,0,14400.0,3.1356
1600,5,320,1,51.0,0.0,0.444461,0.438871,0,14400.0,3.212
1600,5,320,1,51.0,0.562,0.444211,0.43888,0,14400.0,3.2144
1600,5,320,2,49.0,0.0,0.435442,0.428876,0,14400.0,3.0461
1600,5,320,2,49.0,0.562,0.435662,0.42819,0,14400.0,3.0452
1600,5,320,2,50.0,0.0,0.438558,0.432899,0,14400.0,3.1401
1600,5,320,2,50.0,0.562,0.438587,0.432441,0,14400.0,3.1386
1600,5,320,2,51.0,0.0,0.444082,0.439308,0,14400.0,3.2125
1600,5,320,2,51.0,0.562,0.444267,0.438905,0,14400.0,3.2129
1600,5,320,3,49.0,0.0,0.435748,0.428392,0,14400.0,3.0468
1600,5,320,3,49.0,0.562,0.435508,0.428493,0,14400.0,3.0454
1600,5,320,3,50.0,0.0,0.438583,0.432438,0,14400.0,3.138
1600,5,320,3,50.0,0.562,0.438446,0.432762,0,14400.0,3.1392
1600,5,320,3,51.0,0.0,0.444369,0.439454,0,14400.0,3.2143
1600,5,320,3,51.0,0.562,0.444026,0.438707,0,14400.0,3.214
1600,5,320,4,49.0,0.0,0.435723,0.428914,0,14400.0,3.0457
1600,5,320,4,49.0,0.562,0.435375,0.428695,0,14400.0,3.0464
1600,5,320,4,50.0,0.0,0.438614,0.432493,0,14400.0,3.1403
1600,5,320,4,50.0,0.562,0.438525,0.432303,0,14400.0,3.1374
1600,5,320,4,51.0,0.0,0.444266,0.438738,0,14400.0,3.2116
1600,5,320,4,51.0,0.562,0.444191,0.438897,0,14400.0,3.214
1600,8,200,0,49.0,0.0,0.618056,0.595138,0,7200.0,3.0461
1600,8,200,0,49.0,0.9,0.618376,0.595311,0,7200.0,3.0446
1600,8,200,0,50.0,0.0,0.630335,0.614155,0,8100.0,3.1389
1600,8,200,0,50.0,0.9,0.631055,0.613488,0,8100.0,3.1351
1600,8,200,0,51.0,0.0,0.63668,0.620819,0,7200.0,3.2117
1600,8,200,0,51.0,0.9,0.636496,0.621122,0,7200.0,3.2111
1600,8,200,1,49.0,0.0,0.618248,0.595668,0,7200.0,3.0469
1600,8,200,1,49.0,0.9,0.617938,0.595189,0,7200.0,3.0467
1600,8,200,1,50.0,0.0,0.630936,0.61459,0,8100.0,3.1342
1600,8,200,1,50.0,0.9,0.630582,0.613956,0,8100.0,3.1331
1600,8,200,1,51.0,0.0,0.6365,0.620902,0,7200.0,3.2108
1600,8,200,1,51.0,0.9,0.636431,0.620902,0,7200.0,3.2092
1600,8,200,2,49.0,0.0,0.618726,0.595406,0,7200.0,3.0446
1600,8,200,2,49.0,0.9,0.617599,0.595028,0,7200.0,3.0415
1600,8,200,2,50.0,0.0,0.630596,0.613724,0,8100.0,3.1347
1600,8,200,2,50.0,0.9,0.630615,0.61414,0,8100.0,3.1339
1600,8,200,2,51.0,0.0,0.636666,0.621014,0,7200.0,3.2107
1600,8,200,2,51.0,0.9,0.636702,0.620986,0,7200.0,3.2102
1600,8,200,3,49.0,0.0,0.617978,0.594699,0,7200.0,3.0463
1600,8,200,3,49.0,0.9,0.618163,0.594952,0,7200.0,3.0452
1600,8,200,3,50.0,0.0,0.630724,0.614405,0,8100.0,3.137
1600,8,200,3,50.0,0.9,0.630622,0.613885,0,8100.0,3.1373
1600,8,200,3,51.0,0.0,0.63659,0.621447,0,7200.0,3.2125
1600,8,200,3,51.0,0.9,0.636066,0.620413,0,7200.0,3.2091
1600,8,200,4,49.0,0.0,0.618389,0.59564,0,7200.0,3.0465
1600,8,200,4,49.0,0.9,0.618042,0.59481,0,7200.0,3.0442
1600,8,200,4,50.0,0.0,0.630584,0.613916,0,8100.0,3.1354
1600,8,200,4,50.0,0.9,0.630806,0.613726,0,8100.0,3.1387
1600,8,200,4,51.0,0.0,0.636622,0.620635,0,7200.0,3.2095
1600,8,200,4,51.0,0.9,0.636554,0.621305,0,7200.0,3.2134
