sequence,mode,stage,candidate_key,elapsed_s
4569,saturation,high,"[45,40,6,50.0,0.0,0.0]",1307.1104583999986
4570,saturation,high,"[36,50,24,50.0,0.0,0.0]",1307.1138957999938
4571,saturation,high,"[36,50,12,50.0,0.0,0.0]",1307.1162175999998
4572,saturation,high,"[36,50,11,50.0,0.0,0.0]",1307.118813000001
4573,saturation,high,"[45,40,5,50.0,0.0,0.0]",1307.1211436000012
4574,saturation,high,"[30,60,29,50.0,0.0,0.0]",1307.122046000004
4575,saturation,high,"[45,40,4,50.0,0.0,0.0]",1307.124182200001
4576,saturation,high,"[45,40,3,50.0,0.0,0.0]",1307.1255013000045
4577,saturation,high,"[45,40,2,50.0,0.0,0.0]",1307.127063699998
4578,saturation,high,"[45,40,1,50.0,0.0,0.0]",1307.1289726000032
4579,saturation,high,"[30,60,0,50.0,0.0,0.0]",1307.1309212999986
4580,saturation,high,"[50,36,13,50.0,0.0,0.0]",1307.1334687999988
4581,saturation,high,"[45,40,0,50.0,0.0,0.0]",1307.1357768000016
4582,saturation,high,"[50,36,11,50.0,0.0,0.0]",1307.1397149999975
4583,saturation,high,"[50,36,12,50.0,0.0,0.0]",1307.1428256
4584,saturation,high,"[45,40,44,50.0,0.0,0.0]",1307.145026899998
4585,saturation,high,"[40,45,18,50.0,0.0,0.0]",1307.1472816999958
4586,saturation,high,"[40,45,17,50.0,0.0,0.0]",1307.149059400006
4587,saturation,high,"[36,50,13,50.0,0.0,0.0]",1307.1513570000025
4588,saturation,high,"[45,40,43,50.0,0.0,0.0]",1307.1528921999998
4589,saturation,high,"[30,60,1,50.0,0.0,0.0]",1307.156746700006
4590,saturation,high,"[50,36,10,50.0,0.0,0.0]",1307.1606119999997
4591,saturation,high,"[45,40,42,50.0,0.0,0.0]",1307.163791400002
4592,saturation,high,"[40,45,19,50.0,0.0,0.0]",1307.1687743000002
4593,saturation,high,"[50,36,7,50.0,0.0,0.0]",1307.1713227
4594,saturation,high,"[30,60,2,50.0,0.0,0.0]",1307.1736488000024
4595,saturation,high,"[50,36,8,50.0,0.0,0.0]",1307.1758993999974
4596,saturation,high,"[36,50,14,50.0,0.0,0.0]",1307.1774672999964
4597,saturation,high,"[40,45,20,50.0,0.0,0.0]",1307.179353499996
4598,saturation,high,"[45,40,27,50.0,0.0,0.0]",1307.1811486000006
4599,saturation,high,"[50,36,6,50.0,0.0,0.0]",1307.1834908999954
4600,saturation,high,"[50,36,5,50.0,0.0,0.0]",1307.185312499998
4601,saturation,high,"[40,45,21,50.0,0.0,0.0]",1307.1883037000007
4602,saturation,high,"[36,50,15,50.0,0.0,0.0]",1307.1913096000062
4603,saturation,high,"[45,40,28,50.0,0.0,0.0]",1307.1957464000006
4604,saturation,high,"[30,60,4,50.0,0.0,0.0]",1307.1979382999998
4605,saturation,high,"[36,50,16,50.0,0.0,0.0]",1307.2004409
4606,saturation,high,"[50,36,3,50.0,0.0,0.0]",1307.2040172999987
4607,saturation,high,"[45,40,29,50.0,0.0,0.0]",1307.2052326999983
4608,saturation,high,"[50,36,4,50.0,0.0,0.0]",1307.2070330999995
4609,saturation,high,"[45,40,30,50.0,0.0,0.0]",1307.211731700001
4610,saturation,high,"[40,45,22,50.0,0.0,0.0]",1307.212681799996
4611,saturation,high,"[36,50,17,50.0,0.0,0.0]",1307.2142987999978
4612,saturation,high,"[40,45,23,50.0,0.0,0.0]",1307.2161149999956
4613,saturation,high,"[45,40,31,50.0,0.0,0.0]",1307.218917099999
4614,saturation,high,"[45,40,32,50.0,0.0,0.0]",1307.2215703999973
4615,saturation,high,"[36,50,18,50.0,0.0,0.0]",1307.223285400003
4616,saturation,high,"[45,40,33,50.0,0.0,0.0]",1307.228998300001
4617,saturation,high,"[45,40,41,50.0,0.0,0.0]",1307.2309995000032
4618,saturation,high,"[40,45,24,50.0,0.0,0.0]",1307.234217199999
4619,saturation,high,"[36,50,19,50.0,0.0,0.0]",1307.2363270999995
4620,saturation,high,"[50,36,2,50.0,0.0,0.0]",1307.2375759999995
4621,saturation,high,"[40,45,27,50.0,0.0,0.0]",1307.2393375000029
4622,saturation,high,"[40,45,25,50.0,0.0,0.0]",1307.2408069000012
4623,saturation,high,"[45,40,34,50.0,0.0,0.0]",1307.242674299996
4624,saturation,high,"[36,50,20,50.0,0.0,0.0]",1307.2453259999966
4625,saturation,high,"[40,45,26,50.0,0.0,0.0]",1307.2477135000008
4626,saturation,high,"[40,45,28,50.0,0.0,0.0]",1307.2495131999967
4627,saturation,high,"[40,45,29,50.0,0.0,0.0]",1307.2540341999993
4628,saturation,high,"[45,40,35,50.0,0.0,0.0]",1307.2581049
4629,saturation,high,"[40,45,30,50.0,0.0,0.0]",1307.260598700006
4630,saturation,high,"[60,30,22,50.0,0.0,0.0]",1307.2632739000037
4631,saturation,high,"[45,40,36,50.0,0.0,0.0]",1307.2651618000018
4632,saturation,high,"[50,36,40,50.0,0.0,0.0]",1307.2668647000028
4633,saturation,high,"[45,40,37,50.0,0.0,0.0]",1307.268917500005
4634,saturation,high,"[45,40,38,50.0,0.0,0.0]",1307.2706819000014
4635,saturation,high,"[45,40,39,50.0,0.0,0.0]",1307.2731987000006
4636,saturation,high,"[50,36,42,50.0,0.0,0.0]",1307.2755703000003
4637,saturation,high,"[50,36,43,50.0,0.0,0.0]",1307.2779972999997
4638,saturation,high,"[45,40,40,50.0,0.0,0.0]",1307.280812799996
4639,saturation,high,"[60,30,19,50.0,0.0,0.0]",1307.2849104999987
4640,saturation,high,"[60,30,20,50.0,0.0,0.0]",1307.2879398000005
4641,saturation,high,"[60,30,18,50.0,0.0,0.0]",1307.2904974999983
4642,saturation,high,"[60,30,17,50.0,0.0,0.0]",1307.2932710999958
4643,saturation,high,"[60,30,16,50.0,0.0,0.0]",1307.2946106999952
4644,saturation,high,"[50,36,44,50.0,0.0,0.0]",1307.2963049000027
4645,saturation,high,"[60,30,14,50.0,0.0,0.0]",1307.2984488000002
4646,saturation,high,"[60,30,13,50.0,0.0,0.0]",1307.3002818000023
4647,saturation,high,"[50,36,45,50.0,0.0,0.0]",1307.302889700004
4648,saturation,high,"[60,30,15,50.0,0.0,0.0]",1307.307496100002
4649,saturation,high,"[50,36,49,50.0,0.0,0.0]",1307.3106632999989
4650,saturation,high,"[50,36,47,50.0,0.0,0.0]",1307.3137881000002
4651,saturation,high,"[60,30,12,50.0,0.0,0.0]",1307.3183696999986
4652,saturation,high,"[50,36,0,50.0,0.0,0.0]",1307.3214274999991
4653,saturation,high,"[50,36,1,50.0,0.0,0.0]",1307.3236491999996
4654,saturation,high,"[60,30,11,50.0,0.0,0.0]",1307.325519500002
4655,saturation,high,"[60,30,1,50.0,0.0,0.0]",1307.3275644999958
4656,saturation,high,"[60,30,3,50.0,0.0,0.0]",1307.329656899994
4657,saturation,high,"[60,30,5,50.0,0.0,0.0]",1307.3318643999955
4658,saturation,high,"[60,30,2,50.0,0.0,0.0]",1307.3343512000065
4659,saturation,high,"[60,30,7,50.0,0.0,0.0]",1307.33698
4660,saturation,high,"[60,30,8,50.0,0.0,0.0]",1307.3399448000055
4661,saturation,high,"[60,30,6,50.0,0.0,0.0]",1307.342708600001
4662,saturation,high,"[60,30,4,50.0,0.0,0.0]",1307.3468108000015
4663,saturation,high,"[60,30,9,50.0,0.0,0.0]",1307.3495506000036
4664,saturation,high,"[60,30,10,50.0,0.0,0.0]",1307.3545672000037
4665,saturation,low,"[35,52,0,50.0,0.0,0.0]",149.2252357000034
4666,saturation,low,"[35,52,1,50.0,0.0,0.0]",149.22865039999306
4667,saturation,low,"[35,52,2,50.0,0.0,0.0]",149.2304277000003
4668,saturation,low,"[35,52,3,50.0,0.0,0.0]",149.23291600000084
4669,saturation,low,"[35,52,4,50.0,0.0,0.0]",149.23556649999955
4670,saturation,low,"[35,52,5,50.0,0.0,0.0]",149.23799200000212
4671,saturation,low,"[35,52,6,50.0,0.0,0.0]",149.24103009999817
4672,saturation,low,"[35,52,7,50.0,0.0,0.0]",149.24328469999455
4673,saturation,low,"[35,52,8,50.0,0.0,0.0]",149.2458889000045
4674,saturation,low,"[35,52,9,50.0,0.0,0.0]",149.24914649999846
4675,saturation,low,"[35,52,10,50.0,0.0,0.0]",149.25313180000376
4676,saturation,low,"[35,52,11,50.0,0.0,0.0]",149.25625579999905
4677,saturation,low,"[35,52,12,50.0,0.0,0.0]",149.25919689999864
4678,saturation,low,"[35,52,13,50.0,0.0,0.0]",149.26243729999987
4679,saturation,low,"[35,52,14,50.0,0.0,0.0]",149.2647150000048
4680,saturation,low,"[35,52,15,50.0,0.0,0.0]",149.26674840000487
4681,saturation,low,"[35,52,16,50.0,0.0,0.0]",149.2687408999991
4682,saturation,low,"[35,52,17,50.0,0.0,0.0]",149.27178670000285
4683,saturation,low,"[35,52,18,50.0,0.0,0.0]",149.274674399996
4684,saturation,low,"[35,52,19,50.0,0.0,0.0]",149.27826679999998
4685,saturation,low,"[35,52,20,50.0,0.0,0.0]",149.28142330000264
4686,saturation,low,"[35,52,21,50.0,0.0,0.0]",149.2832084000038
4687,saturation,low,"[35,52,22,50.0,0.0,0.0]",149.28802039999573
4688,saturation,low,"[35,52,23,50.0,0.0,0.0]",149.2908948999975
4689,saturation,low,"[35,52,24,50.0,0.0,0.0]",149.29375119999895
4690,saturation,low,"[35,52,25,50.0,0.0,0.0]",149.2972110000046
4691,saturation,low,"[35,52,26,50.0,0.0,0.0]",149.30017539999972
4692,saturation,low,"[35,52,27,50.0,0.0,0.0]",149.30228599999828
4693,saturation,low,"[35,52,28,50.0,0.0,0.0]",149.3045181999987
4694,saturation,low,"[35,52,29,50.0,0.0,0.0]",149.30664249999973
4695,saturation,low,"[35,52,30,50.0,0.0,0.0]",149.30846709999605
4696,saturation,low,"[35,52,31,50.0,0.0,0.0]",149.31057640000654
4697,saturation,low,"[35,52,32,50.0,0.0,0.0]",149.31388230000448
4698,saturation,low,"[35,52,33,50.0,0.0,0.0]",149.31753310000204
4699,saturation,low,"[35,52,34,50.0,0.0,0.0]",149.32254639999883
4700,saturation,low,"[52,35,0,50.0,0.0,0.0]",149.32538669999485
4701,saturation,low,"[52,35,1,50.0,0.0,0.0]",149.32821669999976
4702,saturation,low,"[52,35,2,50.0,0.0,0.0]",149.33103430000483
4703,saturation,low,"[52,35,3,50.0,0.0,0.0]",149.33318549999967
