planes,sats_per_plane,total_satellites,phase_factor,inclination_deg,raan0_deg,u0_deg,C1,C2,avg_multiplicity,c_min,max_gap_s,strict_double_time_rate
2,55,110,1,48.5,0.0,0.0,0.18791760441325084,0.04072353870642565,0.22902214852974412,0,21720.0,0.0
2,55,110,1,50.0,0.0,0.0,0.19360338570430458,0.040662787042986516,0.234680309062582,0,21720.0,0.0
2,55,110,1,52.0,0.0,0.0,0.1949784063077008,0.042999178046928675,0.23842485157514368,0,21720.0,0.0
2,55,110,1,54.0,0.0,0.0,0.19400300679271243,0.04356695276392961,0.23806692313499114,0,21720.0,0.0
2,55,110,1,56.0,0.0,0.0,0.19271298478169752,0.04206182577716681,0.23542086321071812,0,21720.0,0.0
2,55,110,1,58.0,0.0,0.0,0.18536695357932348,0.04054999372779951,0.22664582722203497,0,21720.0,0.0
2,55,110,1,60.0,0.0,0.0,0.18026347388494354,0.03981785327367878,0.22102555795748563,0,21720.0,0.0
1,120,120,0,48.5,0.0,0.0,0.15990932413904774,0.14006015554405007,0.3878404597320118,0,21720.0,0.0
1,120,120,0,50.0,0.0,0.0,0.1650867188962103,0.14513909788515877,0.3986755389972643,0,21720.0,0.0
1,120,120,0,52.0,0.0,0.0,0.1638522722436268,0.1455462439853822,0.40190296230377465,0,21720.0,0.0
1,120,120,0,54.0,0.0,0.0,0.1616435599649908,0.1427728804480857,0.39638083859825374,0,21720.0,0.0
1,120,120,0,56.0,0.0,0.0,0.1586863852714537,0.1403782061812329,0.38630728496747807,0,21720.0,0.0
1,120,120,0,58.0,0.0,0.0,0.1499307956365152,0.13138664109123466,0.3633744738624563,0,21720.0,0.0
1,120,120,0,60.0,0.0,0.0,0.14294444025874145,0.1255153279810717,0.3466770271608552,0,21720.0,0.0
2,60,120,0,48.5,0.0,0.0,0.1911400206775823,0.05826334995006277,0.2501985123530036,0,21720.0,0.0
2,60,120,0,50.0,0.0,0.0,0.19752412559067492,0.05839487193918484,0.2566975738026067,0,21720.0,0.0
2,60,120,0,52.0,0.0,0.0,0.19825846063331026,0.060820370872042416,0.26005619320943923,0,21720.0,0.0
2,60,120,0,54.0,0.0,0.0,0.19692088082474482,0.06113531118897358,0.2591329464334748,0,21720.0,0.0
2,60,120,0,56.0,0.0,0.0,0.19583597473204964,0.060000836731009026,0.25696326224064986,0,21720.0,0.0
2,60,120,0,58.0,0.0,0.0,0.18878376883523487,0.05773222083042775,0.24782466042198192,0,21720.0,0.0
2,60,120,0,60.0,0.0,0.0,0.18392942440069548,0.05668923640355305,0.24204328972884925,0,21720.0,0.0
2,60,120,1,48.5,0.0,0.0,0.19107027513508515,0.0576567762046145,0.24990319847512582,0,21720.0,0.0
2,60,120,1,50.0,0.0,0.0,0.19736088140539626,0.05806942067772103,0.25667271102899003,0,21720.0,0.0
2,60,120,1,52.0,0.0,0.0,0.1980142665507997,0.06056720071182042,0.25990670347155104,0,21720.0,0.0
2,60,120,1,54.0,0.0,0.0,0.1970701606632574,0.06088983894722188,0.2593514976298567,0,21720.0,0.0
2,60,120,1,56.0,0.0,0.0,0.19594086328936033,0.05953038985250911,0.2569455784243051,0,21720.0,0.0
2,60,120,1,58.0,0.0,0.0,0.1886240541820021,0.05756543127358896,0.24784578073653013,0,21720.0,0.0
2,60,120,1,60.0,0.0,0.0,0.18378682071857708,0.05619833552718274,0.24187295122955416,0,21720.0,0.0
3,40,120,0,48.5,0.0,0.0,0.24520078785578628,0.012782190825519329,0.2580261088994575,0,21720.0,0.0
3,40,120,0,50.0,0.0,0.0,0.25265944010315877,0.012848406411106036,0.26552208055196524,0,20040.0,0.0
3,40,120,0,52.0,0.0,0.0,0.25400888358006346,0.013202590560230433,0.26726747605197904,0,16200.0,0.0
3,40,120,0,54.0,0.0,0.0,0.2509134470867131,0.013118676744802766,0.26407241487849403,0,16680.0,0.0
3,40,120,0,56.0,0.0,0.0,0.24519325105841103,0.012526457203236852,0.2577329703260659,0,16560.0,0.0
3,40,120,0,58.0,0.0,0.0,0.22934231500391716,0.012892036830347847,0.2422735968233983,0,16440.0,0.0
3,40,120,0,60.0,0.0,0.0,0.21825165275991207,0.013211139578352965,0.2315125236372246,0,16800.0,0.0
3,40,120,1,48.5,0.0,0.0,0.2449278458803166,0.012798071158156274,0.25774057918122373,0,21720.0,0.0
3,40,120,1,50.0,0.0,0.0,0.25154486070734106,0.013909400981640823,0.26546849572668235,0,19680.0,0.0
3,40,120,1,52.0,0.0,0.0,0.25460391110918396,0.01285925627253217,0.26749070121800034,0,16320.0,0.0
3,40,120,1,54.0,0.0,0.0,0.2513617855897491,0.012517313228487382,0.26390663265452063,0,16800.0,0.0
3,40,120,1,56.0,0.0,0.0,0.24412420180132863,0.013272199639616282,0.257410168359087,0,16560.0,0.0
3,40,120,1,58.0,0.0,0.0,0.22876231117449047,0.012987654974561313,0.2418019319984823,0,16560.0,0.0
3,40,120,1,60.0,0.0,0.0,0.21806369843334417,0.012865645205645862,0.2309547853595844,0,16560.0,0.0
3,40,120,2,48.5,0.0,0.0,0.24452690352402118,0.013356768725037528,0.2579263743621601,0,21720.0,0.0
3,40,120,2,50.0,0.0,0.0,0.25205266484265765,0.012810375658997978,0.264905742614757,0,19800.0,0.0
3,40,120,2,52.0,0.0,0.0,0.2544652940740213,0.012675842063049114,0.26718290401105504,0,16560.0,0.0
3,40,120,2,54.0,0.0,0.0,0.2505566231073523,0.013325880188520496,0.2639365612609931,0,16560.0,0.0
3,40,120,2,56.0,0.0,0.0,0.2441810300552413,0.012684247957325466,0.25686527801256676,0,16560.0,0.0
